*******************************************************************************
 Revised: Aug 13, 2009   Ulysses Spacecraft (interplanetary) / (Sun)        -55
                             http://ulysses.jpl.nasa.gov/ 
            http://ulysses-ops.jpl.esa.int/ulsfct/rgpCafe/solsys/solsys.html

 MISSION ENDED: June 30, 2009. Last tracking data: 2009-Jun-29.
  The Ulysses Radioisotope Thermoelectric Generators (RTGs) have been steadily 
  losing power over the years and can no longer run all the communications, 
  scientific equipment, and heating simultaneously. Soon the spacecraft will 
  become so cold that its hydrazine fuel lines will freeze and it will become 
  impossible to maneuver. 

  A five year mission was planned, but for more than 17 years, the spacecraft 
  has studied the Sun, magnetic fields, the solar wind, x-rays and particles 
  from solar flares, and more. 
 
 BACKGROUND
   Launched : Oct 6, 1990                   Jupiter gravity assist: Feb 8, 1992
   Deployed from shuttle Discovery (STS-41) 160 nm above Earth

   Objective: Study the Sun from high solar latitudes.
   Ulysses is a joint mission between NASA and the European Space Agency (ESA).

   To reach high solar latitudes, the spacecraft was directed past Jupiter to 
   obtain a gravity-assist, accelerating Ulysses out of the ecliptic plane.

   With an orbital period of 6 years, observations have/will be obtained at 
   both the minimum and maximum of the 11 year solar cycle.

   See the web-page above for extensive information on the Ulysses Mission.

 SPACECRAFT TRAJECTORY:
  ... concatenated of trajectories provided Navigation Team (Mark Ryne/JPL). 

  File name              Span
  ---------------------  --------------------------------------------------
  pfile_ulysses_history  1990-Oct-6 (injection) to 2050-Jan-1. 
                         Trajectory after 2009-Jun-29 is predicted.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:29:26 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Oct-06 19:05:00.0000 TDB
Stop  time      : A.D. 2009-Jan-01 12:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448171.295138889, A.D. 1990-Oct-06 19:05:00.0000,  1.455859463934336E+08,  3.474144199229245E+07, -7.881666461704299E+03, -1.112213630508433E+01,  4.334597932715735E+01,  1.527115798431529E+00,  4.992579367600687E+02,  1.496737640373096E+08, -7.572265616841399E-01,
2448172.295138889, A.D. 1990-Oct-07 19:05:00.0000,  1.445267300769400E+08,  3.812916603146426E+07,  1.165835238172952E+05, -1.247307721841400E+01,  3.901896742750397E+01,  1.426749239281188E+00,  4.985842974765167E+02,  1.494718120606881E+08, -2.105855526614183E+00,
2448173.295138889, A.D. 1990-Oct-08 19:05:00.0000,  1.434279864920862E+08,  4.149371909710196E+07,  2.397126454840694E+05, -1.296205585379234E+01,  3.886583036418493E+01,  1.423887984181365E+00,  4.980434044314393E+02,  1.493096564051893E+08, -1.648201504642770E+00,
2448174.295138889, A.D. 1990-Oct-09 19:05:00.0000,  1.422868350157391E+08,  4.484510988447985E+07,  3.626567205604464E+05, -1.345335856560495E+01,  3.871139204257264E+01,  1.422068331650365E+00,  4.976342426702962E+02,  1.491869927950966E+08, -1.191145787809828E+00,
2448175.295138889, A.D. 1990-Oct-10 19:05:00.0000,  1.411032991148717E+08,  4.818277907856093E+07,  4.854439731558338E+05, -1.394287735036465E+01,  3.854775480161791E+01,  1.420193661325550E+00,  4.973568946443357E+02,  1.491038459486724E+08, -7.334392655010485E-01,
2448176.295138889, A.D. 1990-Oct-11 19:05:00.0000,  1.398775941186086E+08,  5.150585348852463E+07,  6.080580793447979E+05, -1.442934242273223E+01,  3.837343701512718E+01,  1.418041379169912E+00,  4.972115400543277E+02,  1.490602697388523E+08, -2.752096625580457E-01,
2448177.295138889, A.D. 1990-Oct-12 19:05:00.0000,  1.386100193963511E+08,  5.481339025823268E+07,  7.304713666222282E+05, -1.491196988302659E+01,  3.818806294355163E+01,  1.415537799976692E+00,  4.971982788204930E+02,  1.490562941209649E+08,  1.831708791567477E-01,
2448178.295138889, A.D. 1990-Oct-13 19:05:00.0000,  1.373009345925633E+08,  5.810443133682540E+07,  8.526520317954421E+05, -1.539012466940286E+01,  3.799160208639250E+01,  1.412653507996076E+00,  4.973170914449584E+02,  1.490919132496948E+08,  6.412583620374238E-01,
